R,xi=-1.0,xi=-0.75,xi=-0.5,xi=-0.25,xi=0.0,xi=0.25,xi=0.5,xi=0.75,xi=1.0
2.6311633330768753,1.7028482031159644,1.8728594331046498,2.0391637629680064,2.201422763935773,2.3592568990972693,2.512240151166171,2.6598936952837375,2.801678695297304,2.936989023554716
2.5991303676677022,1.6988655108426332,1.8693955766279677,2.0362076543968706,2.1989586860428667,2.357264324219487,2.5106912773035504,2.658753079288961,2.8009012358831127,2.9365177634423714
2.5674873859817007,1.6948756228302366,1.8659241886231264,2.0332436433261316,2.1964867467713263,2.3552637133951353,2.509135162931472,2.657606371547393,2.800118848616945,2.9360429073386367
2.5362296401816846,1.690879021572714,1.8624450226913487,2.0302714245038547,2.1940067069506,2.353255358690305,2.5075719886294268,2.656453385059299,2.79933153749789,2.935564377634788
2.505352440232773,1.6868756589149394,1.8589579488243555,2.0272908462237593,2.191518192264366,2.351239118592171,2.5060015625980783,2.6552943638142352,2.7985391203228014,2.935082249685087
2.474851153198678,1.6828648473406944,1.8554632808316263,2.024302251245725,2.1890215174920336,2.349215040050777,2.5044238968692603,2.6541286661563954,2.797741856995886,2.934596313045191
2.4447212025465612,1.67884692691114,1.8519607608185245,2.0213053920993853,2.186516633359108,2.3471830209754883,2.5028390541873167,2.6529566345249846,2.796939006077981,2.934106815835549
2.414958067460353,1.674822232265303,1.8484503962242584,2.0183003293380066,2.1840034427401487,2.3451429639699235,2.501246732070653,2.651778683306984,2.7961310211743413,2.9336131307258175
2.3855572821624293,1.6707905140566695,1.844932362613758,2.0152871228663947,2.181482050040923,2.3430950420197107,2.499647298897603,2.650594445814102,2.795318440028181,2.9331155480806137
2.356514435243554,1.666751775898172,1.8414062107623308,2.01226538493603,2.1789521017927354,2.341038851603053,2.498040111896847,2.6494035632162065,2.7945007010122898,2.932614717192798
2.3278251690009673,1.6627058062086955,1.837872184718036,2.00923547557713,2.1764139151275277,2.3389747432386074,2.4964253165902432,2.6482062310962298,2.7936774939240516,2.9321100521288828
2.2994851787845443,1.658652401567019,1.8343304146670305,2.0061971814124853,2.1738672269786887,2.3369024275314505,2.494803434729158,2.6470024328453343,2.792849028460376,2.9316012904212947
2.271490212350904,1.6545918913800606,1.830780336856594,2.003150308354583,2.1713119924315243,2.334821885215428,2.4931742342145666,2.6457921538192006,2.7920153269159482,2.9310885925813017
2.2438360692253903,1.6505241745103514,1.8272223372943495,2.000095268283086,2.1687485007585603,2.332733394559534,2.491537303142254,2.644575263344546,2.7911763419802447,2.9305720376954953
2.216518600071813,1.646448990493898,1.8236565283658577,1.9970315456504308,2.1661761495683507,2.3306361593012905,2.489892680195376,2.6433517830932862,2.7903319287633117,2.9300515112454693
